ticker,endeks_adi,olcum_tarihi
ALBRK,BIST KURUMSAL YÖNETİM,2026-08-08
ALBRK,BIST YILDIZ,2026-08-08
ALBRK,BIST TÜM,2026-08-08
ALBRK,BIST TÜM-100,2026-08-08
ALBRK,BIST 500,2026-08-08
ALBRK,BIST KATILIM TUM,2026-08-08
ALBRK,BIST SÜRDÜRÜLEBİLİRLİK KATILIM,2026-08-08
ALBRK,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
ALBRK,BIST MALİ,2026-08-08
ALBRK,BIST BANKA,2026-08-08
ALBTN,BIST İSTANBUL,2026-08-08
ALBTN,BIST TÜM,2026-08-08
ALBTN,BIST TÜM-100,2026-08-08
ALBTN,"BIST TAŞ, TOPRAK",2026-08-08
ALBTN,BIST HALKA ARZ,2026-08-08
ALBTN,BIST YILDIZ,2026-08-08
ALBTN,BIST KATILIM TUM,2026-08-08
ALBTN,BIST SINAİ,2026-08-08
ALCAR,BIST SINAİ,2026-08-08
ALCAR,BIST TÜM,2026-08-08
ALCAR,BIST TÜM-100,2026-08-08
ALCAR,BIST İSTANBUL,2026-08-08
ALCAR,"BIST METAL EŞYA, MAKİNA",2026-08-08
ALCAR,BIST 500,2026-08-08
ALCAR,BIST ANA,2026-08-08
ALCTL,BIST ANKARA,2026-08-08
ALCTL,BIST BİLİŞİM,2026-08-08
ALCTL,BIST TEKNOLOJİ,2026-08-08
ALCTL,BIST 500,2026-08-08
ALCTL,BIST KATILIM TUM,2026-08-08
ALCTL,BIST TÜM-100,2026-08-08
ALCTL,BIST ANA,2026-08-08
ALCTL,BIST TÜM,2026-08-08
ALFAS,BIST KATILIM 100,2026-08-08
ALFAS,BIST 500,2026-08-08
ALFAS,BIST TÜM,2026-08-08
ALFAS,BIST YILDIZ,2026-08-08
ALFAS,BIST HİZMETLER,2026-08-08
ALFAS,BIST KATILIM TUM,2026-08-08
ALFAS,BIST ELEKTRİK,2026-08-08
ALFAS,BIST TÜM-100,2026-08-08
ALGYO,BIST 500,2026-08-08
ALGYO,BIST MALİ,2026-08-08
ALGYO,BIST GAYRİMENKUL YAT. ORT.,2026-08-08
ALGYO,BIST YILDIZ,2026-08-08
ALGYO,BIST TÜM,2026-08-08
ALGYO,BIST TÜM-100,2026-08-08
ALK,BIST KATILIM 100,2026-08-08
ALK,BIST KURUMSAL YÖNETİM,2026-08-08
ALK,BIST YILDIZ,2026-08-08
ALK,BIST TÜM,2026-08-08
ALK,BIST TÜM-100,2026-08-08
ALK,BIST 500,2026-08-08
ALK,BIST KATILIM TUM,2026-08-08
ALK,BIST SÜRDÜRÜLEBİLİRLİK KATILIM,2026-08-08
ALK,BIST SÜRDÜRÜLEBİLİRLİK,2026-08-08
ALK,BIST MALİ,2026-08-08
ALK,BIST BANKA,2026-08-08
ALKA,BIST İZMİR,2026-08-08
ALKA,BIST TÜM,2026-08-08
ALKA,BIST SINAİ,2026-08-08
ALKA,BIST KATILIM TUM,2026-08-08
ALKA,BIST TÜM-100,2026-08-08
ALKA,"BIST ORMAN, KAĞIT, BASIM",2026-08-08
ALKA,BIST ANA,2026-08-08
ALKA,BIST 500,2026-08-08
ALKIM,BIST 500,2026-08-08
ALKIM,BIST TÜM-100,2026-08-08
ALKIM,BIST KATILIM TUM,2026-08-08
ALKIM,"BIST KİMYA, PETROL, PLASTİK",2026-08-08
ALKIM,BIST TÜM,2026-08-08
ALKIM,BIST ANA,2026-08-08
ALKIM,BIST SINAİ,2026-08-08
ALKLC,"BIST GIDA, İÇECEK",2026-08-08
ALKLC,BIST TÜM-100,2026-08-08
ALKLC,BIST SINAİ,2026-08-08
ALKLC,BIST ANA,2026-08-08
ALKLC,BIST 500,2026-08-08
ALKLC,BIST KATILIM 100,2026-08-08
ALKLC,BIST KATILIM 50,2026-08-08
ALKLC,BIST KATILIM 30,2026-08-08
ALKLC,BIST KATILIM TUM,2026-08-08
ALKLC,BIST TÜM,2026-08-08
ALTNY,BIST KATILIM 50,2026-08-08
ALTNY,BIST KATILIM 30,2026-08-08
ALTNY,BIST 100-30,2026-08-08
ALTNY,BIST KATILIM TUM,2026-08-08
ALTNY,BIST KATILIM 100,2026-08-08
ALTNY,BIST TÜM,2026-08-08
ALTNY,BIST TEKNOLOJİ,2026-08-08
ALTNY,BIST 500,2026-08-08
ALTNY,BIST 100,2026-08-08
ALTNY,BIST YILDIZ,2026-08-08
ALTNY,BIST İSTANBUL,2026-08-08
ALVES,BIST 500,2026-08-08
ALVES,BIST KATILIM TUM,2026-08-08
ALVES,"BIST METAL EŞYA, MAKİNA",2026-08-08
ALVES,BIST TÜM-100,2026-08-08
ALVES,BIST KATILIM 100,2026-08-08
